feature,importance
Min_transfer_In,294.70445685808846
Inc_in,251.45654603446255
Payment_L,148.6991223471878
Turnover,146.79078753664143
Salary,122.66946968256539
Inc_6M,84.71729605577889
Inc_Past,78.09404430611568
Transfers_in,74.9035408764519
Liab_Tot,73.41135468148653
Transfers_out,69.61791232319513
Inc_Past_max,62.66355822852539
Payments,53.07304577571008
Bal_Cur,48.81467971934846
Transactions,30.66233308771072
Tot_in,30.254876029392047
Acct_Trns,29.99101947713547
Loan,22.78153395665401
Income_Growth,18.332031313655417
Income_to_Liability,9.78990871068849
Loan_to_Income,8.65158337598227
Balance_to_Liab,3.7092159406734115
Loan_Cnt,3.336405990218413
Trn_max,3.335178445148617
Inc_Past_avg,3.099323231287185
Balance,2.499790771840068
